CaseID          JobName           Timestamp      Costs   Activity  
------------ ---------- ------------------- ---------- ----------
60157539         step_1 2024-03-11T20:53:54   00:00:32   step_1_2
60157539         step_1 2024-03-11T20:53:54   00:00:36   step_1_8
60157539         step_1 2024-03-11T20:53:54   00:00:17   step_1_9
60157539         step_1 2024-03-11T20:53:54   00:00:22   step_1_7
60157539         step_1 2024-03-11T20:53:54   00:00:38   step_1_1
60157539         step_1 2024-03-11T20:53:54   00:00:37   step_1_4
60157539         step_1 2024-03-11T20:53:54   00:00:37   step_1_8
60157539         step_1 2024-03-11T20:53:54   00:00:36  step_1_10
60157539         step_1 2024-03-11T20:53:54   00:00:23   step_1_5
60157539         step_1 2024-03-11T20:53:54   00:00:37   step_1_3
60157539         step_1 2024-03-11T20:53:54   00:00:22   step_1_6
60157539         step_0 2024-03-11T20:52:59   00:00:16   step_0_0
60157539          start 2024-03-11T20:52:08   00:00:15      start


44241152         step_1 2024-03-12T14:23:18   00:00:36 step_1_10
44241175         step_1 2024-03-12T14:24:17   00:00:23 step_1_7
44240899         step_1 2024-03-12T14:20:04   00:00:23 step_1_10
44241112         step_1 2024-03-12T14:23:17   00:00:37 step_1_3
44241136         step_1 2024-03-12T14:23:17   00:00:37 step_1_7
44241393         step_1 2024-03-12T14:28:23   00:00:15 step_1_8
44241344         step_1 2024-03-12T14:27:21   00:00:32 step_1_2
44241102         step_1 2024-03-12T14:23:17   00:00:34 step_1_2
44240892         step_1 2024-03-12T14:20:04   00:00:37 step_1_4
44241346         step_1 2024-03-12T14:27:21   00:00:19 step_1_3
44241170         step_1 2024-03-12T14:24:17   00:00:39 step_1_2
44241106         step_1 2024-03-12T14:23:17   00:01:08 step_1_2
44241134         step_1 2024-03-12T14:23:17   00:00:37 step_1_8
44241311          start 2024-03-12T14:25:17   00:00:26 start
44241358         step_1 2024-03-12T14:27:21   00:00:18 step_1_7
44241309          start 2024-03-12T14:25:17   00:00:25 start
44241145         step_1 2024-03-12T14:23:17   00:00:37 step_1_8
44240888         step_0 2024-03-12T14:19:04   00:00:17 step_0_0
44241121         step_1 2024-03-12T14:23:17   00:00:42 step_1_5
44241089         step_0 2024-03-12T14:22:15   00:00:16 step_0_0
44241354         step_1 2024-03-12T14:27:21   00:00:17 step_1_6
44241352         step_1 2024-03-12T14:27:21   00:00:16 step_1_4
44241367         step_1 2024-03-12T14:27:21   00:00:21 step_1_8
44241150         step_1 2024-03-12T14:23:18   00:00:36 step_1_9
44241392         step_1 2024-03-12T14:28:23   00:00:21 step_1_7
44241132         step_1 2024-03-12T14:23:17   00:00:37 step_1_6
44241174         step_1 2024-03-12T14:24:17   00:00:24 step_1_6
44241116         step_1 2024-03-12T14:23:17   00:00:36 step_1_4
44240889         step_1 2024-03-12T14:20:04   00:00:37 step_1_1
44241141         step_1 2024-03-12T14:23:17   00:00:36 step_1_9
44241176         step_1 2024-03-12T14:24:17   00:00:23 step_1_8
44241334         step_0 2024-03-12T14:26:18   00:00:16 step_0_0
44241137         step_1 2024-03-12T14:23:17   00:00:37 step_1_7
44241120         step_1 2024-03-12T14:23:17   00:00:36 step_1_4
44241390         step_1 2024-03-12T14:28:23   00:00:22 step_1_6
44241386         step_1 2024-03-12T14:28:23   00:00:35 step_1_2
44240891         step_1 2024-03-12T14:20:04   00:00:24 step_1_3
44241133         step_1 2024-03-12T14:23:17   00:00:37 step_1_7
44241103         step_1 2024-03-12T14:23:17   00:00:34 step_1_2
44240898         step_1 2024-03-12T14:20:04   00:00:23 step_1_9
44241090         step_0 2024-03-12T14:22:15   00:00:16 step_0_0
44241108         step_1 2024-03-12T14:23:17   00:00:53 step_1_3
44241101         step_1 2024-03-12T14:23:17   00:00:33 step_1_2
44241077          start 2024-03-12T14:21:16   00:00:25 start
44241364         step_1 2024-03-12T14:27:21   00:00:20 step_1_9
44241109         step_1 2024-03-12T14:23:17   00:00:53 step_1_3
44241135         step_1 2024-03-12T14:23:17   00:00:36 step_1_8
44241359         step_1 2024-03-12T14:27:21   00:00:21 step_1_6
44241078          start 2024-03-12T14:21:16   00:00:25 start
44241389         step_1 2024-03-12T14:28:23   00:00:23 step_1_5
44241168         step_0 2024-03-12T14:23:18   00:00:31 step_0_0
44241153         step_1 2024-03-12T14:23:18   00:00:36 step_1_10
44241115         step_1 2024-03-12T14:23:17   00:00:36 step_1_4
44241119         step_1 2024-03-12T14:23:17   00:00:42 step_1_5
44241368         step_1 2024-03-12T14:27:21   00:00:20 step_1_9
44241395         step_1 2024-03-12T14:28:23   00:00:18 step_1_10
44241366         step_1 2024-03-12T14:27:21   00:00:20 step_1_10
44241369         step_1 2024-03-12T14:27:21   00:00:20 step_1_9
44241144         step_1 2024-03-12T14:23:17   00:00:36 step_1_9
44241123         step_1 2024-03-12T14:23:17   00:00:42 step_1_5
44241127         step_1 2024-03-12T14:23:17   00:00:37 step_1_6
44241118         step_1 2024-03-12T14:23:17   00:00:36 step_1_4
44241104         step_1 2024-03-12T14:23:17   00:00:33 step_1_2
44241096         step_1 2024-03-12T14:23:17   00:01:24 step_1_1
44241371         step_1 2024-03-12T14:27:21   00:00:16 step_1_10
44241075          start 2024-03-12T14:21:16   00:00:25 start
44241117         step_1 2024-03-12T14:23:17   00:00:42 step_1_5
44241338         step_1 2024-03-12T14:27:21   00:00:32 step_1_2
44241105         step_1 2024-03-12T14:23:17   00:00:24 step_1_3
44241347         step_1 2024-03-12T14:27:21   00:00:37 step_1_4
44241099         step_1 2024-03-12T14:23:17   00:00:42 step_1_1
44241333         step_0 2024-03-12T14:26:18   00:00:16 step_0_0
44241139         step_1 2024-03-12T14:23:17   00:00:37 step_1_8
44241308          start 2024-03-12T14:25:17   00:00:26 start
44241360         step_1 2024-03-12T14:27:21   00:00:21 step_1_6
44241146         step_1 2024-03-12T14:23:18   00:00:35 step_1_10
44241370         step_1 2024-03-12T14:27:21   00:00:20 step_1_10
44241100         step_1 2024-03-12T14:23:17   00:00:42 step_1_1
44241388         step_1 2024-03-12T14:28:23   00:00:15 step_1_4
44241072          start 2024-03-12T14:21:16   00:00:25 start
44241129         step_1 2024-03-12T14:23:17   00:00:37 step_1_6
44241173         step_1 2024-03-12T14:24:17   00:00:29 step_1_5
44241384         step_0 2024-03-12T14:27:21   00:00:13 step_0_0
44241335         step_1 2024-03-12T14:27:21   00:00:37 step_1_1
44241126         step_1 2024-03-12T14:23:17   00:00:42 step_1_5
44241113         step_1 2024-03-12T14:23:17   00:00:36 step_1_4
44241147         step_1 2024-03-12T14:23:18   00:00:35 step_1_10
44240890         step_1 2024-03-12T14:20:04   00:00:34 step_1_2
44241074          start 2024-03-12T14:21:16   00:00:25 start
44241092         step_0 2024-03-12T14:22:15   00:00:19 step_0_0
44241172         step_1 2024-03-12T14:24:17   00:00:23 step_1_4
44241094         step_0 2024-03-12T14:22:15   00:00:13 step_0_0
44241097         step_1 2024-03-12T14:23:17   00:00:36 step_1_1
44241154         step_1 2024-03-12T14:23:18   00:00:36 step_1_10
44240893         step_1 2024-03-12T14:20:04   00:00:53 step_1_5
44241140         step_1 2024-03-12T14:23:17   00:00:36 step_1_9
44241138         step_1 2024-03-12T14:23:17   00:00:37 step_1_7
44241124         step_1 2024-03-12T14:23:17   00:00:42 step_1_5
44241111         step_1 2024-03-12T14:23:17   00:00:36 step_1_4
44241122         step_1 2024-03-12T14:23:17   00:00:37 step_1_6
44241151         step_1 2024-03-12T14:23:18   00:00:35 step_1_10
44241394         step_1 2024-03-12T14:28:23   00:00:17 step_1_9
44241351         step_1 2024-03-12T14:27:21   00:00:20 step_1_4
44241385         step_1 2024-03-12T14:28:23   00:00:37 step_1_1
44241169         step_1 2024-03-12T14:24:17   00:00:42 step_1_1
44241131         step_1 2024-03-12T14:23:17   00:00:37 step_1_7
44241073          start 2024-03-12T14:21:16   00:00:25 start
44241110         step_1 2024-03-12T14:23:17   00:00:24 step_1_3
44241332         step_0 2024-03-12T14:26:18   00:00:16 step_0_0
44241093         step_0 2024-03-12T14:22:15   00:00:30 step_0_0
44240897         step_1 2024-03-12T14:20:04   00:00:25 step_1_8
44241365         step_1 2024-03-12T14:27:21   00:00:19 step_1_8
44240874          start 2024-03-12T14:18:04   00:00:12 start
44241363         step_1 2024-03-12T14:27:21   00:00:21 step_1_7
44241098         step_1 2024-03-12T14:23:17   00:00:41 step_1_1
44241171         step_1 2024-03-12T14:24:17   00:00:24 step_1_3
44241091         step_0 2024-03-12T14:22:15   00:00:18 step_0_0
44241095         step_1 2024-03-12T14:23:17   00:00:38 step_1_1
44241128         step_1 2024-03-12T14:23:17   00:00:37 step_1_7
44241148         step_1 2024-03-12T14:23:18   00:00:36 step_1_9
44241387         step_1 2024-03-12T14:28:23   00:00:15 step_1_3
44241130         step_1 2024-03-12T14:23:17   00:00:37 step_1_6
44241357         step_1 2024-03-12T14:27:21   00:00:23 step_1_5
44241114         step_1 2024-03-12T14:23:17   00:00:37 step_1_3
44241350         step_1 2024-03-12T14:27:21   00:00:25 step_1_5
44241178         step_1 2024-03-12T14:24:17   00:00:19 step_1_10
44241361         step_1 2024-03-12T14:27:21   00:00:21 step_1_8
44241310          start 2024-03-12T14:26:18   00:00:24 start
44241149         step_1 2024-03-12T14:23:18   00:00:35 step_1_9
44241125         step_1 2024-03-12T14:23:17   00:00:37 step_1_6
44241107         step_1 2024-03-12T14:23:17   00:01:07 step_1_2
44241343         step_1 2024-03-12T14:27:21   00:00:19 step_1_3
